date,code,oneDayAfter(open)(reg),oneDay(close-open)(reg),oneDay(close-close)(reg),oneDayAfter(open),oneDay(close-open),oneDay(close-close),tc0-tot,tc0-tl1,ic0-ih1,gc0-gl1,gc0-gc1
2009-01-05,0000,0,0.0016331,0.0061241,1.0000000,1.0000000,1.0000000,-0.0045186,0.0342229,0.0253189,0.0407353,0.0396895,
2009-01-06,0000,-0,0.0019625,0.0130652,-1.0000000,1.0000000,1.0000000,-0.0112496,0.0083960,0.0072138,0.0162298,0.0336472,
2009-01-07,0000,-0,-0.0297258,-0.0560101,-1.0000000,-1.0000000,-1.0000000,0.0248902,0.0230509,-0.0416307,-0.0227541,-0.0229416,
2009-01-08,0000,-0,-0.0027450,-0.0073400,-1.0000000,-1.0000000,-1.0000000,0.0045615,-0.0478682,-0.0051700,0.0080903,-0.0274477,
2009-01-09,0000,0,0.0038075,-0.0078813,1.0000000,1.0000000,-1.0000000,0.0115974,-0.0066626,-0.0289007,-0.0072556,-0.0183074,
2009-01-14,0000,0,-0.0068784,-0.0464501,1.0000000,-1.0000000,-1.0000000,0.0378151,0.0217474,-0.0458567,-0.0230234,-0.0328024,
2009-01-15,0000,0,-0.0048419,0.0075637,1.0000000,-1.0000000,1.0000000,-0.0125001,-0.0464501,-0.0111189,0.0080712,-0.0332448,
2009-01-16,0000,0,-0.0038387,0.0028401,1.0000000,-1.0000000,1.0000000,-0.0066978,0.0087466,0.0050676,0.0389122,0.0088223,
2009-02-02,0000,0,0.0165226,0.0258026,1.0000000,1.0000000,1.0000000,-0.0095259,0.0224860,-0.0087592,0.0256106,0.0244960,
2009-02-03,0000,-0,-0.0074237,0.0039089,-1.0000000,-1.0000000,1.0000000,-0.0113771,0.0303535,0.0089560,0.0305780,-0.0020632,
2009-02-04,0000,0,-0.0040222,-0.0061239,1.0000000,-1.0000000,-1.0000000,0.0020889,0.0215742,-0.0040659,0.0123163,0.0081588,
2009-02-05,0000,0,0.0073693,0.0241543,1.0000000,1.0000000,1.0000000,-0.0172005,-0.0007242,-0.0021989,0.0197080,0.0086777,
2009-02-06,0000,-0,-0.0151493,0.0051929,-1.0000000,-1.0000000,1.0000000,-0.0204484,0.0241543,0.0234590,0.0560557,0.0418720,
2009-02-09,0000,-0,0.0004529,0.0069618,-1.0000000,1.0000000,1.0000000,-0.0065545,0.0138900,-0.0016964,0.0281300,0.0276357,
2009-02-10,0000,0,0.0279090,0.0108939,1.0000000,1.0000000,1.0000000,0.0172024,0.0069618,-0.0482053,-0.0416969,-0.0500991,
2009-02-11,0000,-0,-0.0257208,-0.0245230,-1.0000000,-1.0000000,-1.0000000,-0.0011692,0.0183809,-0.0444299,0.0128937,-0.0433588,
2009-02-12,0000,0,0.0191159,0.0274535,1.0000000,1.0000000,1.0000000,-0.0085729,0.0040704,-0.0007330,0.0154336,0.0096146,
2009-02-13,0000,-0,-0.0031604,-0.0002701,-1.0000000,-1.0000000,-1.0000000,-0.0028895,0.0274535,-0.0053117,0.0227130,-0.0083450,
2009-02-19,0000,-0,-0.0105861,-0.0207192,-1.0000000,-1.0000000,-1.0000000,0.0099274,0.0222086,-0.0312582,-0.0019129,-0.0131332,
2009-02-20,0000,-0,0.0128077,0.0091206,-1.0000000,1.0000000,1.0000000,0.0037210,0.0007911,-0.0304670,-0.0090643,-0.0238556,
2009-02-23,0000,0,0.0050179,-0.0107445,1.0000000,1.0000000,-1.0000000,0.0155948,0.0091206,-0.0480428,-0.0146906,-0.0479060,
2009-02-24,0000,0,-0.0011505,0.0141441,1.0000000,-1.0000000,1.0000000,-0.0155140,0.0133539,-0.0074558,0.0397987,0.0039967,
2009-02-25,0000,-0,-0.0066326,0.0054929,-1.0000000,-1.0000000,1.0000000,-0.0121925,0.0220262,-0.0137783,0.0264218,0.0281998,
2009-02-26,0000,0,0.0073708,0.0084680,1.0000000,1.0000000,1.0000000,-0.0011065,0.0067477,-0.0446937,-0.0000797,-0.0269782,
2009-02-27,0000,-0,-0.0231459,-0.0296713,-1.0000000,-1.0000000,-1.0000000,0.0063373,0.0141426,-0.0486196,-0.0226639,-0.0405529,
2009-03-02,0000,0,0.0160010,0.0021441,1.0000000,1.0000000,1.0000000,0.0138867,-0.0184282,-0.0598103,-0.0480865,-0.0742131,
2009-03-03,0000,0,0.0217355,0.0233583,1.0000000,1.0000000,1.0000000,-0.0016617,0.0060491,-0.0385993,-0.0048397,-0.0556633,
2009-03-04,0000,-0,0.0018675,0.0206547,-1.0000000,1.0000000,1.0000000,-0.0191834,0.0469831,0.0050674,0.0288552,0.0169035,
2009-03-05,0000,0,0.0104843,0.0035306,1.0000000,1.0000000,1.0000000,0.0069783,0.0447878,-0.0544018,-0.0235148,-0.0201890,
2009-03-06,0000,-0,-0.0033231,-0.0054859,-1.0000000,-1.0000000,-1.0000000,0.0021510,0.0117822,-0.0378792,0.0079751,-0.0431532,
2009-03-09,0000,0,0.0139370,0.0091586,1.0000000,1.0000000,1.0000000,0.0048226,0.0065576,-0.0408863,0.0143970,-0.0088983,
2009-03-10,0000,-0,-0.0062690,0.0186850,-1.0000000,-1.0000000,1.0000000,-0.0254291,0.0199036,0.0310172,0.0649250,0.0503335,
2009-03-11,0000,0,-0.0057964,-0.0011168,1.0000000,-1.0000000,-1.0000000,-0.0046744,0.0323616,0.0097402,0.0583343,0.0621465,
2009-03-12,0000,0,0.0107037,0.0291461,1.0000000,1.0000000,1.0000000,-0.0189961,0.0014218,0.0286165,0.0491382,0.0414791,
2009-03-13,0000,0,0.0061292,0.0148713,1.0000000,1.0000000,1.0000000,-0.0088741,0.0313698,0.0027593,0.0552376,0.0465138,
2009-03-16,0000,0,0.0084282,0.0138989,1.0000000,1.0000000,1.0000000,-0.0055478,0.0283929,-0.0213387,0.0151614,0.0041783,
2009-03-17,0000,0,-0.0053670,0.0012184,1.0000000,-1.0000000,1.0000000,-0.0065934,0.0249911,0.0115176,0.0318074,0.0277207,
2009-03-18,0000,-0,-0.0108361,-0.0023054,-1.0000000,-1.0000000,-1.0000000,-0.0085111,0.0184327,0.0195209,0.0559199,0.0509347,
2009-03-19,0000,-0,-0.0198786,-0.0149770,-1.0000000,-1.0000000,-1.0000000,-0.0048293,0.0028694,-0.0161242,0.0234682,0.0075506,
2009-03-20,0000,0,0.0198237,0.0317241,1.0000000,1.0000000,1.0000000,-0.0122903,-0.0149548,-0.0355391,-0.0172795,-0.0335832,
2009-03-23,0000,0,0.0008393,0.0225097,1.0000000,1.0000000,1.0000000,-0.0221694,0.0317241,0.0347031,0.0689253,0.0472464,
2009-03-24,0000,0,0.0182553,0.0194898,1.0000000,1.0000000,1.0000000,-0.0012590,0.0431805,-0.0258816,0.0419416,0.0466184,
2009-03-25,0000,0,0.0021888,0.0074593,1.0000000,1.0000000,1.0000000,-0.0053101,0.0262682,-0.0112888,0.0103209,-0.0111073,
2009-03-26,0000,-0,-0.0144304,0.0007680,-1.0000000,-1.0000000,1.0000000,-0.0152101,0.0297166,0.0206364,0.0498163,0.0321062,
2009-03-27,0000,-0,-0.0301284,-0.0354683,-1.0000000,-1.0000000,-1.0000000,0.0051570,0.0102677,-0.0270515,0.0023041,0.0025247,
2009-03-30,0000,0,-0.0007907,0.0009192,1.0000000,-1.0000000,1.0000000,-0.0017115,-0.0311061,-0.0448861,-0.0328876,-0.0575597,
2009-03-31,0000,0,0.0080196,0.0194959,1.0000000,1.0000000,1.0000000,-0.0117044,0.0084382,0.0075429,0.0226353,-0.0226478,
2009-04-01,0000,0,0.0081954,0.0291079,1.0000000,1.0000000,1.0000000,-0.0215394,0.0224896,-0.0018497,0.0249051,0.0290354,
2009-04-02,0000,0,-0.0021177,0.0101001,1.0000000,-1.0000000,1.0000000,-0.0123425,0.0368941,0.0309491,0.0611951,0.0437570,
2009-04-03,0000,-0,-0.0062057,0.0047856,-1.0000000,-1.0000000,1.0000000,-0.0110441,0.0232077,-0.0009064,0.0331988,0.0372938,
2009-04-06,0000,0,0.0141603,0.0036992,1.0000000,1.0000000,1.0000000,0.0104999,0.0133256,-0.0094354,0.0105089,0.0013166,
2009-04-07,0000,-0,-0.0167207,-0.0244858,-1.0000000,-1.0000000,-1.0000000,0.0075795,0.0098568,-0.0294504,-0.0088774,-0.0330452,
2009-04-08,0000,0,0.0237852,0.0395639,1.0000000,1.0000000,1.0000000,-0.0164286,-0.0075925,0.0016723,0.0128824,-0.0125067,
2009-04-09,0000,0,-0.0005085,0.0197442,1.0000000,-1.0000000,1.0000000,-0.0206606,0.0410671,0.0342322,0.0487065,0.0478776,
2009-04-15,0000,0,-0.0020843,0.0203396,1.0000000,-1.0000000,1.0000000,-0.0228895,0.0186173,-0.0150479,0.0138605,-0.0078281,
2009-04-16,0000,-0,-0.0544134,-0.0420111,-1.0000000,-1.0000000,-1.0000000,-0.0119023,0.0331073,0.0255741,0.0343465,0.0275049,
2009-04-17,0000,-0,0.0029715,0.0045454,-1.0000000,1.0000000,1.0000000,-0.0015811,-0.0365050,-0.0018529,0.0259430,0.0201702,
2009-04-20,0000,0,0.0366358,0.0169602,1.0000000,1.0000000,1.0000000,0.0200150,0.0130810,-0.0460325,-0.0342147,-0.0395368,
2009-04-21,0000,0,-0.0002328,0.0007985,1.0000000,-1.0000000,1.0000000,-0.0010321,0.0396691,0.0003224,0.0208098,-0.0229625,
2009-04-22,0000,0,-0.0042909,-0.0018501,1.0000000,-1.0000000,-1.0000000,-0.0024362,0.0378094,0.0013790,0.0198210,0.0132298,
2009-04-23,0000,0,-0.0055027,0.0009404,1.0000000,-1.0000000,1.0000000,-0.0064491,0.0032526,-0.0167110,0.0133228,0.0021598,
2009-04-24,0000,-0,-0.0397578,-0.0308008,-1.0000000,-1.0000000,-1.0000000,-0.0086893,0.0155592,0.0232782,0.0355333,0.0261824,
2009-04-27,0000,-0,-0.0264512,-0.0193542,-1.0000000,-1.0000000,-1.0000000,-0.0069623,-0.0209236,-0.0139692,0.0041982,0.0065189,
2009-04-28,0000,0,-0.0024011,0.0030869,1.0000000,-1.0000000,1.0000000,-0.0055050,-0.0134936,-0.0159636,0.0005964,-0.0129449,
2009-04-29,0000,0,0.0047626,0.0631632,1.0000000,1.0000000,1.0000000,-0.0623381,0.0030869,0.0127808,0.0303558,0.0184630,
2009-04-30,0000,0,0.0070770,0.0533663,1.0000000,1.0000000,1.0000000,-0.0488989,0.0701936,-0.0054679,0.0182858,0.0202220,
2009-05-04,0000,-0,-0.0278702,0.0077650,-1.0000000,-1.0000000,1.0000000,-0.0359140,0.0629297,0.0056420,0.0426899,0.0370354,
2009-05-05,0000,0,0.0269770,0.0284405,1.0000000,1.0000000,1.0000000,-0.0015063,0.0193811,-0.0053816,0.0272073,0.0342886,
2009-05-06,0000,-0,-0.0046631,0.0009387,-1.0000000,-1.0000000,1.0000000,-0.0056071,0.0365389,-0.0001819,0.0241319,0.0133655,
2009-05-07,0000,0,0.0111864,0.0016707,1.0000000,1.0000000,1.0000000,0.0095316,0.0304175,-0.0314933,0.0037911,0.0039564,
2009-05-08,0000,-0,0.0098985,0.0095720,-1.0000000,1.0000000,1.0000000,0.0003296,0.0195387,-0.0196262,0.0299926,0.0104388,
2009-05-11,0000,-0,-0.0183022,-0.0334160,-1.0000000,-1.0000000,-1.0000000,0.0146250,0.0247146,-0.0093401,0.0002310,0.0020347,
2009-05-12,0000,-0,0.0055018,0.0081093,-1.0000000,1.0000000,1.0000000,-0.0026288,-0.0215871,-0.0186780,-0.0003633,-0.0229867,
2009-05-13,0000,0,0.0002200,-0.0190080,1.0000000,1.0000000,-1.0000000,0.0188693,0.0123683,-0.0476688,-0.0141868,-0.0286451,
2009-05-14,0000,0,0.0065787,0.0192508,1.0000000,1.0000000,1.0000000,-0.0129208,-0.0112065,-0.0050615,0.0114997,-0.0171095,
2009-05-15,0000,0,0.0093770,0.0134878,1.0000000,1.0000000,1.0000000,-0.0041670,0.0230572,-0.0125466,0.0004078,-0.0011780,
2009-05-18,0000,-0,-0.0141911,0.0116864,-1.0000000,-1.0000000,1.0000000,-0.0261835,0.0228313,0.0166882,0.0338240,0.0182915,
2009-05-19,0000,-0,-0.0007339,0.0071648,-1.0000000,-1.0000000,1.0000000,-0.0079557,0.0298170,0.0012568,0.0242917,0.0278044,
2009-05-20,0000,-0,0.0041615,0.0022608,-1.0000000,1.0000000,1.0000000,0.0019049,0.0123948,-0.0128542,-0.0019370,-0.0069067,
2009-05-21,0000,0,0.0128805,0.0027429,1.0000000,1.0000000,1.0000000,0.0101655,0.0190540,-0.0426014,-0.0146792,-0.0222890,
2009-05-22,0000,-0,-0.0154786,-0.0004202,-1.0000000,-1.0000000,-1.0000000,-0.0150520,0.0129073,-0.0162942,0.0083315,-0.0185682,
2009-06-01,0000,-0,-0.0156913,-0.0007224,-1.0000000,-1.0000000,-1.0000000,-0.0149581,0.0303001,0.0330621,0.0540902,0.0345117,
2009-06-02,0000,-0,-0.0031713,-0.0081153,-1.0000000,-1.0000000,-1.0000000,0.0049042,0.0081147,0.0019708,0.0227364,0.0547029,
2009-06-03,0000,-0,-0.0150043,-0.0157794,-1.0000000,-1.0000000,-1.0000000,0.0007631,-0.0009923,-0.0113532,-0.0071907,-0.0119237,
2009-06-04,0000,-0,-0.0086640,-0.0028018,-1.0000000,-1.0000000,-1.0000000,-0.0058458,-0.0090922,0.0118539,0.0197462,-0.0024192,
2009-06-05,0000,0,0.0088774,0.0130733,1.0000000,1.0000000,1.0000000,-0.0042515,0.0075025,-0.0003352,0.0114563,0.0088609,
2009-06-10,0000,0,0.0165591,0.0160034,1.0000000,1.0000000,1.0000000,0.0005648,0.0105118,-0.0088717,0.0031944,0.0000106,
2009-06-11,0000,-0,-0.0161827,-0.0184764,-1.0000000,-1.0000000,-1.0000000,0.0022520,0.0270169,-0.0055467,0.0179068,0.0026035,
2009-06-12,0000,-0,-0.0219514,-0.0357671,-1.0000000,-1.0000000,-1.0000000,0.0133385,0.0146474,-0.0113622,0.0075776,0.0074613,
2009-06-15,0000,0,0.0000434,-0.0007636,1.0000000,1.0000000,-1.0000000,0.0008064,-0.0350651,-0.0233541,-0.0129260,-0.0229182,
2009-06-16,0000,0,-0.0070369,-0.0040188,1.0000000,-1.0000000,-1.0000000,-0.0030060,0.0051617,-0.0234665,-0.0084213,-0.0375451,
2009-06-17,0000,-0,-0.0166522,-0.0083619,-1.0000000,-1.0000000,-1.0000000,-0.0082216,0.0085008,-0.0127872,-0.0009773,-0.0142856,
2009-06-18,0000,0,0.0069297,0.0139011,1.0000000,1.0000000,1.0000000,-0.0070697,-0.0076572,-0.0091165,0.0158868,0.0069689,
2009-06-19,0000,-0,0.0133776,0.0173563,-1.0000000,1.0000000,1.0000000,-0.0040490,0.0210346,0.0059481,0.0144264,0.0114195,
2009-06-22,0000,0,-0.0014264,-0.0231933,1.0000000,-1.0000000,-1.0000000,0.0212735,0.0299154,-0.0404203,-0.0254860,-0.0283638,
2009-06-23,0000,0,0.0234041,0.0286219,1.0000000,1.0000000,1.0000000,-0.0053715,0.0007067,-0.0258709,0.0023014,-0.0291923,
2009-06-24,0000,0,0.0046039,0.0120060,1.0000000,1.0000000,1.0000000,-0.0074921,0.0286219,0.0082350,0.0134082,0.0087686,
2009-06-25,0000,-0,-0.0080575,0.0009205,-1.0000000,-1.0000000,1.0000000,-0.0089863,0.0411886,0.0122763,0.0260253,0.0273401,
2009-06-26,0000,-0,-0.0189747,-0.0113297,-1.0000000,-1.0000000,-1.0000000,-0.0075593,0.0091559,0.0046512,0.0246273,0.0195451,
2009-06-29,0000,-0,-0.0082663,0.0063758,-1.0000000,-1.0000000,1.0000000,-0.0147360,-0.0109151,0.0016702,0.0153144,0.0075170,
2009-06-30,0000,0,0.0202342,0.0223150,1.0000000,1.0000000,1.0000000,-0.0021284,0.0063758,-0.0103812,0.0034156,0.0004569,
2009-07-01,0000,0,0.0080705,0.0132823,1.0000000,1.0000000,1.0000000,-0.0052820,0.0300275,-0.0048599,0.0113394,-0.0042238,
2009-07-02,0000,0,0.0048639,-0.0003196,1.0000000,1.0000000,-1.0000000,0.0051818,0.0350715,-0.0362367,-0.0272194,-0.0255461,
2009-07-08,0000,0,0.0076258,0.0118610,1.0000000,1.0000000,1.0000000,-0.0042861,0.0016871,-0.0239244,-0.0004207,-0.0217836,
2009-07-09,0000,-0,-0.0055540,0.0032024,-1.0000000,-1.0000000,1.0000000,-0.0087846,0.0175381,-0.0029215,0.0151357,0.0018693,
2009-07-10,0000,-0,-0.0404865,-0.0366018,-1.0000000,-1.0000000,-1.0000000,-0.0037475,0.0108038,-0.0043279,0.0007735,-0.0004891,
2009-07-13,0000,0,0.0082101,0.0163554,1.0000000,1.0000000,1.0000000,-0.0082807,-0.0318842,0.0162279,0.0313412,0.0203873,
2009-07-14,0000,0,0.0098418,0.0147197,1.0000000,1.0000000,1.0000000,-0.0049507,0.0170964,0.0036228,0.0336925,0.0294864,
2009-07-15,0000,-0,-0.0123239,0.0061502,-1.0000000,-1.0000000,1.0000000,-0.0185884,0.0251818,0.0333727,0.0387914,0.0339130,
2009-07-16,0000,0,-0.0001416,0.0103182,1.0000000,-1.0000000,1.0000000,-0.0105689,0.0189431,0.0115330,0.0325170,0.0370985,
2009-07-17,0000,0,0.0024817,0.0126635,1.0000000,1.0000000,1.0000000,-0.0103124,0.0117472,-0.0006785,0.0137498,0.0081882,
2009-07-20,0000,-0,-0.0060633,0.0020825,-1.0000000,-1.0000000,1.0000000,-0.0081627,0.0212009,0.0114964,0.0173268,0.0109238,
2009-07-21,0000,0,0.0008461,0.0045782,1.0000000,1.0000000,1.0000000,-0.0037493,0.0132771,0.0032930,0.0142366,0.0148757,
2009-07-22,0000,0,-0.0009898,-0.0006360,1.0000000,-1.0000000,-1.0000000,-0.0003536,0.0115156,0.0046304,0.0113723,0.0030815,
2009-07-23,0000,-0,-0.0104943,-0.0010899,-1.0000000,-1.0000000,-1.0000000,-0.0093942,0.0036543,0.0197558,0.0292331,0.0222372,
2009-07-24,0000,0,0.0028812,0.0078467,1.0000000,1.0000000,1.0000000,-0.0050048,0.0067414,-0.0068058,0.0265404,0.0257235,
2009-07-27,0000,0,0.0145465,0.0159885,1.0000000,1.0000000,1.0000000,-0.0014655,0.0110281,0.0008283,0.0165245,0.0059969,
2009-07-28,0000,-0,-0.0143839,-0.0083291,-1.0000000,-1.0000000,-1.0000000,-0.0060048,0.0263670,0.0020906,0.0074825,0.0003675,
2009-07-29,0000,0,-0.0051742,-0.0080431,1.0000000,-1.0000000,-1.0000000,0.0028460,0.0063386,-0.0054224,0.0059478,-0.0072091,
2009-07-30,0000,-0,-0.0047247,0.0071492,-1.0000000,-1.0000000,1.0000000,-0.0119594,-0.0062060,0.0068790,0.0183430,0.0072257,
2009-07-31,0000,0,0.0028682,-0.0029759,1.0000000,1.0000000,-1.0000000,0.0058267,0.0188211,-0.0158251,0.0116154,0.0124863,
2009-08-03,0000,-0,-0.0249516,-0.0144971,-1.0000000,-1.0000000,-1.0000000,-0.0103051,0.0017019,0.0067509,0.0197281,0.0158383,
2009-08-04,0000,-0,-0.0192006,-0.0157164,-1.0000000,-1.0000000,-1.0000000,-0.0034302,-0.0043733,0.0013424,0.0153433,0.0180679,
2009-08-05,0000,-0,-0.0026279,0.0029715,-1.0000000,-1.0000000,1.0000000,-0.0056160,-0.0106305,-0.0113093,0.0060236,0.0000898,
2009-08-06,0000,0,0.0034869,0.0020660,1.0000000,1.0000000,1.0000000,0.0014239,0.0060405,-0.0209258,0.0027781,-0.0085951,
2009-08-10,0000,-0,0.0006615,0.0037849,-1.0000000,1.0000000,1.0000000,-0.0031353,0.0155458,-0.0060886,0.0145070,0.0043491,
2009-08-11,0000,0,0.0029802,-0.0014669,1.0000000,1.0000000,-1.0000000,0.0044406,0.0104298,-0.0151391,-0.0066777,-0.0027455,
2009-08-12,0000,0,0.0121479,0.0193406,1.0000000,1.0000000,1.0000000,-0.0073345,0.0125875,0.0059388,0.0133325,-0.0012825,
2009-08-13,0000,-0,-0.0031558,0.0048872,-1.0000000,-1.0000000,1.0000000,-0.0080825,0.0241721,-0.0029412,0.0191265,0.0181490,
2009-08-14,0000,-0,-0.0147826,-0.0198664,-1.0000000,-1.0000000,-1.0000000,0.0049848,0.0195148,-0.0140568,0.0032567,-0.0017130,
2009-08-17,0000,0,-0.0078795,-0.0209182,1.0000000,-1.0000000,-1.0000000,0.0127716,-0.0188537,-0.0393041,-0.0151777,-0.0336827,
2009-08-18,0000,-0,-0.0081180,-0.0001753,-1.0000000,-1.0000000,-1.0000000,-0.0079414,-0.0209182,0.0034204,0.0112765,-0.0145705,
2009-08-19,0000,0,-0.0076754,-0.0082204,1.0000000,-1.0000000,-1.0000000,0.0005406,0.0062281,0.0053472,0.0158963,0.0167894,
2009-08-20,0000,-0,-0.0196700,-0.0117855,-1.0000000,-1.0000000,-1.0000000,-0.0077927,-0.0079546,0.0084958,0.0265543,0.0175705,
2009-08-21,0000,0,0.0104544,0.0268270,1.0000000,1.0000000,1.0000000,-0.0168239,0.0011240,0.0141917,0.0289827,0.0289145,
2009-08-24,0000,-0,-0.0045320,-0.0042353,-1.0000000,-1.0000000,-1.0000000,-0.0002954,0.0305853,-0.0019227,0.0160984,0.0177462,
2009-08-25,0000,-0,-0.0144675,-0.0134242,-1.0000000,-1.0000000,-1.0000000,-0.0010295,0.0068626,-0.0058294,0.0053696,0.0018191,
2009-08-26,0000,0,0.0018697,-0.0042536,1.0000000,1.0000000,-1.0000000,0.0060974,-0.0120758,-0.0079825,0.0018578,0.0024803,
2009-08-27,0000,0,0.0121060,0.0174908,1.0000000,1.0000000,1.0000000,-0.0054807,0.0040220,-0.0032450,0.0091272,0.0028905,
2009-08-28,0000,-0,-0.0027776,0.0023572,-1.0000000,-1.0000000,1.0000000,-0.0051469,0.0221928,-0.0002465,0.0123721,0.0007872,
2009-08-31,0000,0,0.0263713,0.0276078,1.0000000,1.0000000,1.0000000,-0.0012716,0.0168167,-0.0250963,-0.0024593,-0.0101507,
2009-09-01,0000,0,0.0104535,0.0028438,1.0000000,1.0000000,1.0000000,0.0076313,0.0369956,-0.0227336,-0.0166126,-0.0309507,
2009-09-02,0000,0,0.0061917,0.0091320,1.0000000,1.0000000,1.0000000,-0.0029674,0.0329769,-0.0344218,-0.0015381,-0.0260065,
2009-09-03,0000,0,-0.0019726,0.0067775,1.0000000,-1.0000000,1.0000000,-0.0088097,0.0202177,0.0034540,0.0112336,0.0051832,
2009-09-04,0000,0,0.0044888,0.0098912,1.0000000,1.0000000,1.0000000,-0.0054564,0.0198193,0.0175403,0.0237603,0.0213007,
2009-09-10,0000,0,0.0050606,0.0006896,1.0000000,1.0000000,1.0000000,0.0043739,0.0110964,0.0084836,0.0193173,0.0179574,
