date,code,oneDayAfter(open)(reg),oneDayAfter(open)(reg),oneDay(close-open)(reg),oneDay(close-close)(reg),IXICClose-IXICOpen,GSPCClose-GSPCOpen,SOXClose-SOXOpen
2004-01-02,0000,0,0.0145607,0.0073856,0.0136905,-0.0021927,-0.0031033,-0.0064772,
2004-01-05,0000,0,0.0007984,-0.0042334,0.0030257,0.0129826,0.0122436,0.0347959,
2004-01-06,0000,0,0.0008754,-0.0054875,-0.0004494,0.0062313,0.0012904,0.0039609,
2004-01-07,0000,0,0.0097735,-0.0018139,0.0045257,0.0100737,0.0023617,0.0037752,
2004-01-08,0000,-0,-0.0025911,-0.0023093,0.0092838,0.0050708,0.0049385,0.0328251,
2004-01-09,0000,0,0.0022327,-0.0008875,-0.0011689,0.0015717,-0.0089673,-0.0031290,
2004-01-12,0000,-0,-0.0071137,-0.0046601,-0.0015281,0.0086373,0.0047639,0.0309284,
2004-01-13,0000,0,0.0162761,0.0127299,0.0103188,-0.0079516,-0.0053602,-0.0251147,
2004-01-14,0000,0,0.0005031,-0.0053030,-0.0016921,0.0032400,0.0082263,-0.0058680,
2004-01-15,0000,0,0.0111026,-0.0049524,0.0008517,0.0034233,0.0013515,0.0158540,
2004-01-16,0000,-0,-0.0016964,0.0020565,0.0179995,0.0066995,0.0068256,0.0116665,
2004-01-27,0000,-0,-0.0018554,0.0039992,0.0002537,-0.0151273,-0.0098947,-0.0432724,
2004-01-28,0000,-0,-0.0027196,-0.0057472,-0.0116591,-0.0229377,-0.0137973,-0.0041726,
2004-01-29,0000,0,0.0075659,0.0068498,0.0098394,-0.0083695,0.0049642,-0.0077842,
2004-01-30,0000,-0,-0.0156729,-0.0094969,-0.0087690,-0.0010696,-0.0026345,0.0060845,
2004-02-02,0000,-0,-0.0015929,-0.0046863,-0.0108329,-0.0043526,0.0036379,-0.0166202,
2004-02-03,0000,-0,-0.0047453,-0.0048307,-0.0017368,0.0023860,0.0006778,0.0049555,
2004-02-04,0000,0,0.0125341,0.0041831,0.0042676,-0.0142443,-0.0084419,-0.0307692,
2004-02-05,0000,0,0.0188876,0.0050682,0.0134118,-0.0024362,0.0018341,0.0048010,
2004-02-06,0000,0,0.0072130,0.0031332,0.0169795,0.0184350,0.0123998,0.0455902,
2004-02-09,0000,0,0.0043739,-0.0002019,0.0038916,-0.0042318,-0.0025882,-0.0102108,
2004-02-10,0000,-0,-0.0019414,-0.0098801,-0.0052600,0.0068567,0.0050020,0.0053778,
2004-02-11,0000,-0,-0.0059346,-0.0106541,-0.0027094,0.0080204,0.0105549,0.0187354,
2004-02-12,0000,0,0.0151688,0.0125252,0.0171365,-0.0050202,-0.0049040,-0.0154786,
2004-02-13,0000,0,0.0029955,-0.0002117,0.0024660,-0.0129580,-0.0054983,-0.0160801,
