date,code,oneDayAfter(open)(reg),oneDayAfter(open)(reg),oneDay(close-open)(reg),oneDay(close-close)(reg),IXICClose-,GSPCClose-,SOXClose-,IXICOpen-,GSPCOpen-,SOXOpen-
2004-01-05,0000,0,0.0007984,-0.0042334,0.0030257,0.0198695,0.0122436,0.0347959,0.0116260,0.0122436,0.0347959,
2004-01-06,0000,0,0.0008754,-0.0054875,-0.0004494,0.0048654,0.0012904,0.0039609,0.0059317,0.0012904,0.0039609,
2004-01-07,0000,0,0.0097735,-0.0018139,0.0045257,0.0097753,0.0023617,0.0037752,0.0157207,0.0023617,0.0037752,
2004-01-08,0000,-0,-0.0025911,-0.0023093,0.0092838,0.0107463,0.0049385,0.0328251,-0.0028604,0.0049385,0.0328251,
2004-01-09,0000,0,0.0022327,-0.0008875,-0.0011689,-0.0063874,-0.0089673,-0.0031290,0.0047288,-0.0089673,-0.0031290,
2004-01-12,0000,-0,-0.0071137,-0.0046601,-0.0015281,0.0117721,0.0047639,0.0309284,0.0092612,0.0047639,0.0277027,
2004-01-13,0000,0,0.0162761,0.0127299,0.0103188,-0.0073172,-0.0053602,-0.0285269,-0.0041914,-0.0053602,-0.0251147,
2004-01-14,0000,0,0.0005031,-0.0053030,-0.0016921,0.0069584,0.0082263,-0.0058680,-0.0011561,0.0082263,-0.0058680,
2004-01-15,0000,0,0.0111026,-0.0049524,0.0008517,-0.0009720,0.0013515,0.0158540,0.0114105,0.0013515,0.0158540,
2004-01-16,0000,-0,-0.0016964,0.0020565,0.0179995,0.0146604,0.0068256,0.0116665,0.0102093,0.0201840,-0.0200811,
2004-01-27,0000,-0,-0.0018554,0.0039992,0.0002537,-0.0115404,0.0036886,-0.0767848,-0.0108375,-0.0098947,-0.0432724,
2004-01-28,0000,-0,-0.0027196,-0.0057472,-0.0116591,-0.0186149,-0.0137973,-0.0041726,-0.0189303,-0.0137973,-0.0041726,
2004-01-29,0000,0,0.0075659,0.0068498,0.0098394,-0.0044192,0.0049642,-0.0077842,-0.0083061,0.0049642,-0.0077842,
2004-01-30,0000,-0,-0.0156729,-0.0094969,-0.0087690,-0.0010067,-0.0026345,0.0060845,0.0018194,-0.0026345,0.0060845,
2004-02-02,0000,-0,-0.0015929,-0.0046863,-0.0108329,-0.0014541,0.0036379,-0.0166202,-0.0052637,0.0036379,-0.0166202,
2004-02-03,0000,-0,-0.0047453,-0.0048307,-0.0017368,0.0014810,0.0006778,0.0049555,-0.0090316,0.0006778,0.0049555,
2004-02-04,0000,0,0.0125341,0.0041831,0.0042676,-0.0258522,-0.0084419,-0.0307692,-0.0090641,-0.0084419,-0.0307692,
2004-02-05,0000,0,0.0188876,0.0050682,0.0134118,0.0026838,0.0018341,0.0048010,0.0007305,0.0018341,0.0048010,
2004-02-06,0000,0,0.0072130,0.0031332,0.0169795,0.0215357,0.0123998,0.0455902,0.0209395,0.0123998,0.0455902,
2004-02-09,0000,0,0.0043739,-0.0002019,0.0038916,-0.0016694,-0.0025882,-0.0102108,-0.0039736,-0.0025882,-0.0102108,
2004-02-10,0000,-0,-0.0019414,-0.0098801,-0.0052600,0.0071121,0.0050020,0.0053778,0.0056925,0.0050020,0.0053778,
2004-02-11,0000,-0,-0.0059346,-0.0106541,-0.0027094,0.0068576,0.0105549,0.0187354,0.0053358,0.0105549,0.0187354,
2004-02-12,0000,0,0.0151688,0.0125252,0.0171365,-0.0077401,-0.0049040,-0.0154786,-0.0018508,-0.0049040,-0.0154786,
2004-02-18,0000,0,0.0066004,0.0050378,0.0113253,-0.0018686,-0.0044885,0.0066608,0.0035760,-0.0044885,0.0066608,
2004-02-19,0000,-0,-0.0008016,-0.0039742,-0.0023974,-0.0149123,-0.0041497,-0.0150176,-0.0192873,-0.0041497,-0.0150176,
2004-02-20,0000,-0,-0.0054901,-0.0031174,0.0000525,-0.0039403,-0.0025784,-0.0096705,-0.0037762,-0.0025784,-0.0096705,
2004-02-23,0000,-0,-0.0046029,-0.0092469,-0.0116341,-0.0151480,-0.0027345,-0.0282165,-0.0218218,-0.0027345,-0.0282165,
2004-02-24,0000,0,0.0133752,0.0037009,0.0082853,-0.0010372,-0.0016680,0.0028358,0.0048941,-0.0016680,0.0028358,
2004-02-25,0000,0,0.0034459,-0.0024174,0.0073163,0.0086704,0.0040047,0.0179146,0.0041210,0.0040047,0.0179146,
2004-02-26,0000,0,0.0123460,0.0026531,0.0084867,0.0047182,0.0010831,0.0069630,0.0087201,0.0018590,0.0069630,
2004-02-27,0000,0,0.0212315,0.0104000,0.0200176,-0.0013548,0.0000262,-0.0150918,0.0001227,-0.0007511,-0.0150918,
2004-03-01,0000,0,0.0024178,0.0015197,0.0124483,0.0135970,0.0095418,0.0211456,0.0094632,0.0095418,0.0211456,
2004-03-02,0000,-0,-0.0026295,-0.0071219,-0.0062159,-0.0088986,-0.0059786,-0.0056248,-0.0094595,-0.0059786,-0.0056248,
2004-03-03,0000,0,0.0201342,0.0100752,0.0144908,-0.0030934,0.0016768,-0.0193587,-0.0011697,0.0016768,-0.0193587,
2004-03-04,0000,-0,-0.0155266,-0.0234213,-0.0130219,0.0105834,0.0033250,0.0160212,0.0012762,0.0033250,0.0160212,
2004-03-05,0000,-0,-0.0138803,-0.0139361,-0.0061146,-0.0036530,0.0017202,-0.0088250,0.0071830,0.0017202,-0.0088250,
2004-03-08,0000,0,0.0093725,0.0103299,0.0103844,-0.0193401,-0.0084205,-0.0391122,-0.0215657,-0.0084205,-0.0391122,
2004-03-09,0000,-0,-0.0207979,-0.0134184,-0.0143987,-0.0068265,-0.0058041,0.0022617,-0.0058284,-0.0058041,0.0022617,
2004-03-10,0000,-0,-0.0065034,0.0078353,0.0006105,-0.0157880,-0.0148502,-0.0211636,-0.0222769,-0.0148502,-0.0211636,
2004-03-11,0000,0,0.0169141,0.0028131,-0.0115981,-0.0104224,-0.0154593,-0.0051705,0.0037787,-0.0154593,-0.0051705,
2004-03-12,0000,-0,-0.0379735,-0.0394516,-0.0247529,0.0205771,0.0123062,0.0232117,0.0084843,0.0123062,0.0232117,
2004-03-15,0000,0,0.0013585,-0.0084541,-0.0070200,-0.0234788,-0.0145588,-0.0283207,-0.0128023,-0.0145588,-0.0283207,
2004-03-16,0000,-0,-0.0124362,-0.0116282,-0.0017847,0.0020020,0.0055911,0.0111102,0.0019116,0.0055911,0.0111102,
2004-03-17,0000,0,0.0310738,0.0315749,0.0308014,0.0170329,0.0116129,0.0206327,0.0074775,0.0116129,0.0206327,
2004-03-18,0000,-0,-0.0665359,0.0046324,0.0041173,-0.0072970,-0.0012741,-0.0133774,-0.0032011,-0.0012741,-0.0133774,
2004-03-19,0000,-0,-0.0541430,-0.0000645,-0.0715685,-0.0113220,-0.0112995,-0.0373584,-0.0186364,-0.0112995,-0.0373584,
2004-03-22,0000,0,0.0370411,0.0225567,-0.0302986,-0.0160061,-0.0131276,-0.0096971,-0.0030106,-0.0131276,-0.0096971,
2004-03-23,0000,-0,-0.0049592,-0.0083978,0.0065454,-0.0042591,-0.0013255,-0.0031478,-0.0079610,-0.0013255,-0.0031478,
2004-03-24,0000,-0,-0.0012285,-0.0126837,-0.0092305,0.0040220,-0.0024007,0.0228137,0.0078930,-0.0024007,0.0228137,
2004-03-25,0000,0,0.0191672,-0.0154176,-0.0039314,0.0293264,0.0161018,0.0353596,0.0205244,0.0161018,0.0353596,
2004-03-26,0000,0,0.0221887,0.0193463,0.0527470,-0.0036479,-0.0010198,-0.0126239,0.0060291,-0.0010198,-0.0126239,
2004-03-29,0000,0,0.0094616,0.0002741,0.0031718,0.0163357,0.0128378,0.0170642,0.0051569,0.0128378,0.0170642,
2004-03-30,0000,-0,-0.0077500,-0.0050229,0.0042133,0.0040287,0.0040195,-0.0011088,0.0077058,0.0040195,-0.0011088,
2004-03-31,0000,0,0.0094750,0.0029049,0.0001993,-0.0032143,-0.0007015,0.0001848,-0.0023241,-0.0007015,0.0001848,
2004-04-01,0000,0,0.0091245,-0.0032419,0.0033687,0.0103176,0.0052642,0.0165550,0.0242418,0.0052642,0.0165550,
2004-04-02,0000,0,0.0132030,0.0083050,0.0205290,0.0204942,0.0084427,0.0360799,0.0048347,0.0084427,0.0360799,
2004-04-05,0000,-0,-0.0110607,-0.0121105,-0.0071117,0.0105574,0.0076136,0.0093310,0.0039436,0.0076136,0.0093310,
2004-04-06,0000,0,0.0036450,0.0006484,0.0016850,-0.0093306,-0.0020990,-0.0209223,-0.0041448,-0.0020990,-0.0209223,
2004-04-07,0000,-0,-0.0024691,0.0009186,0.0039144,-0.0047116,-0.0066899,-0.0016758,0.0091440,-0.0066899,-0.0016758,
2004-04-13,0000,0,0.0192233,0.0156624,0.0124779,-0.0174377,-0.0139538,-0.0177580,-0.0270467,-0.0139538,-0.0177580,
2004-04-14,0000,-0,-0.0229427,-0.0249926,-0.0212846,-0.0025829,-0.0011257,-0.0062212,0.0040266,-0.0011257,-0.0062212,
